Benchmark,exec1,exec2,exec3,exec4,exec5,Mean
Benchs/PolyBench/datamining/correlation,11.79,11.75,11.79,11.84,11.80,11.79
Benchs/PolyBench/datamining/covariance,12.21,12.15,12.24,12.16,12.17,12.19
Benchs/PolyBench/linear-algebra/blas/gemm,10.12,10.13,10.08,10.22,10.20,10.15
Benchs/PolyBench/linear-algebra/blas/gemver,9.55,9.60,9.72,9.60,9.62,9.62
Benchs/PolyBench/linear-algebra/blas/gesummv,5.56,5.53,5.57,5.55,5.58,5.56
Benchs/PolyBench/linear-algebra/blas/symm,97.28,96.93,97.83,97.62,97.03,97.34
Benchs/PolyBench/linear-algebra/blas/syrk,57.14,57.52,57.05,57.29,57.30,57.26
Benchs/PolyBench/linear-algebra/blas/trmm,92.93,91.90,92.23,92.26,91.42,92.15
Benchs/PolyBench/linear-algebra/kernels/2mm,11.21,11.20,11.28,11.21,11.24,11.23
Benchs/PolyBench/linear-algebra/kernels/3mm,17.92,17.96,18.03,17.91,17.91,17.95
Benchs/PolyBench/linear-algebra/kernels/atax,6.33,6.24,6.24,6.23,6.25,6.26
Benchs/PolyBench/linear-algebra/kernels/bicg,7.17,7.17,7.17,7.24,7.19,7.19
Benchs/PolyBench/linear-algebra/kernels/doitgen,14.80,14.59,14.65,14.57,14.64,14.65
Benchs/PolyBench/linear-algebra/kernels/mvt,9.10,9.06,8.99,9.20,9.18,9.11
Benchs/PolyBench/linear-algebra/solvers/cholesky,67.05,67.06,67.01,67.09,67.81,67.21
Benchs/PolyBench/linear-algebra/solvers/gramschmidt,22.89,22.97,22.69,22.66,22.77,22.80
Benchs/PolyBench/linear-algebra/solvers/lu,82.68,83.57,82.76,82.74,82.62,82.87
Benchs/PolyBench/linear-algebra/solvers/ludcmp,80.31,80.27,80.09,80.16,80.13,80.19
Benchs/PolyBench/linear-algebra/solvers/trisolv,5.24,5.24,5.23,5.24,5.24,5.24
Benchs/PolyBench/stencils/fdtd-2d,5.50,5.58,5.53,5.51,5.53,5.53
Benchs/TSVC/Recurrences-dbl,2.81,2.84,2.83,2.82,2.85,2.83
Benchs/TSVC/Recurrences-flt,2.73,2.73,2.73,2.73,2.73,2.73
Benchs/VersaBench/bmm,6.36,6.36,6.36,6.42,6.42,6.38
Benchs/McCat/08-main,0.04,0.04,0.04,0.04,0.04,0.04
Benchs/TSVC/LinearDependence-flt,1.51,1.49,1.50,1.50,1.49,1.50
Benchs/TSVC/LinearDependence-dbl,2.25,2.25,2.22,2.27,2.24,2.25
Benchs/TSVC/StatementReordering-flt,1.66,1.67,1.67,1.66,1.67,1.67
Benchs/TSVC/StatementReordering-dbl,2.59,2.59,2.58,2.58,2.58,2.58
Benchs/TSVC/Expansion-dbl,2.39,2.39,2.37,2.38,2.38,2.38
Benchs/TSVC/Expansion-flt,1.32,1.33,1.33,1.34,1.33,1.33
Benchs/TSVC/ControlLoops-dbl,2.02,2.00,1.99,2.00,2.00,2.00
Benchs/TSVC/ControlLoops-flt,1.50,1.53,1.51,1.50,1.50,1.51
Benchs/Ptrdist/yacr2,0.58,0.58,0.58,0.58,0.58,0.58
Benchs/DOE_ProxyApps_C/Pathfinder,1.95,1.91,1.91,1.90,1.91,1.92
Benchs/TSVC/GlobalDataFlow-flt,1.39,1.39,1.39,1.40,1.41,1.40
Benchs/TSVC/LoopRestructuring-flt,2.34,2.41,2.38,2.29,2.43,2.37
