Benchmark,exec1,exec2,exec3,exec4,exec5,Mean
Benchs/PolyBench/datamining/correlation,11.55,11.56,11.59,11.60,11.59,11.58
Benchs/PolyBench/datamining/covariance,12.00,11.92,11.99,12.09,11.98,12.00
Benchs/PolyBench/linear-algebra/blas/gemm,13.22,13.24,13.23,13.25,13.23,13.23
Benchs/PolyBench/linear-algebra/blas/gemver,9.86,9.89,9.84,9.95,9.78,9.86
Benchs/PolyBench/linear-algebra/blas/gesummv,5.56,5.55,5.55,5.56,5.60,5.56
Benchs/PolyBench/linear-algebra/blas/symm,94.37,94.09,94.06,93.74,94.48,94.15
Benchs/PolyBench/linear-algebra/blas/syrk,53.13,53.14,53.05,53.03,53.24,53.12
Benchs/PolyBench/linear-algebra/blas/trmm,88.01,88.92,88.92,88.49,88.47,88.56
Benchs/PolyBench/linear-algebra/kernels/2mm,11.98,12.23,12.19,11.71,11.69,11.96
Benchs/PolyBench/linear-algebra/kernels/3mm,18.87,18.88,18.78,18.80,19.26,18.92
Benchs/PolyBench/linear-algebra/kernels/atax,6.81,6.81,6.81,6.81,6.81,6.81
Benchs/PolyBench/linear-algebra/kernels/bicg,7.27,7.32,7.34,7.26,7.25,7.29
Benchs/PolyBench/linear-algebra/kernels/doitgen,16.60,16.64,16.66,16.64,16.55,16.62
Benchs/PolyBench/linear-algebra/kernels/mvt,9.39,9.36,9.38,9.48,9.47,9.41
Benchs/PolyBench/linear-algebra/solvers/cholesky,60.18,60.22,60.38,60.50,60.46,60.35
Benchs/PolyBench/linear-algebra/solvers/gramschmidt,22.03,21.98,21.94,21.97,21.95,21.97
Benchs/PolyBench/linear-algebra/solvers/lu,76.13,76.19,76.27,76.49,76.39,76.29
Benchs/PolyBench/linear-algebra/solvers/ludcmp,72.94,72.84,73.07,73.35,72.96,73.03
Benchs/PolyBench/linear-algebra/solvers/trisolv,5.43,5.42,5.51,5.43,5.42,5.44
Benchs/PolyBench/stencils/fdtd-2d,5.56,5.56,5.57,5.55,5.55,5.56
Benchs/TSVC/Recurrences-dbl,1.95,1.95,1.93,1.95,1.94,1.94
Benchs/TSVC/Recurrences-flt,1.84,1.84,1.84,1.84,1.84,1.84
Benchs/VersaBench/bmm,6.62,6.61,6.69,6.71,6.69,6.66
Benchs/McCat/08-main,0.04,0.04,0.04,0.04,0.04,0.04
Benchs/TSVC/LinearDependence-flt,2.00,2.01,2.00,2.00,2.01,2.00
Benchs/TSVC/LinearDependence-dbl,2.61,2.62,2.64,2.64,2.62,2.63
Benchs/TSVC/StatementReordering-flt,1.90,1.90,1.90,1.90,1.90,1.90
Benchs/TSVC/StatementReordering-dbl,2.64,2.64,2.65,2.64,2.65,2.65
Benchs/TSVC/Expansion-dbl,2.38,2.38,2.39,2.38,2.38,2.38
Benchs/TSVC/Expansion-flt,1.38,1.38,1.40,1.39,1.39,1.39
Benchs/TSVC/ControlLoops-dbl,2.23,2.22,2.24,2.23,2.24,2.23
Benchs/TSVC/ControlLoops-flt,2.00,2.00,2.01,2.00,2.00,2.00
Benchs/Ptrdist/yacr2,0.59,0.59,0.59,0.59,0.59,0.59
Benchs/DOE_ProxyApps_C/Pathfinder,1.90,1.91,1.91,1.91,1.90,1.90
Benchs/TSVC/GlobalDataFlow-flt,1.87,1.87,1.87,1.86,1.87,1.87
Benchs/TSVC/LoopRestructuring-flt,2.57,2.58,2.55,2.61,2.60,2.58
